$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:142.     

JDAY,T(C)
 37789.128,   14.20
 37789.167,   14.05
 37789.210,   13.61
 37789.253,   13.50
 37789.293,   13.52
 37789.334,   13.54
 37789.376,   13.63
 37789.419,   13.79
 37789.459,   13.83
 37789.504,   14.15
 37789.542,   14.11
 37789.584,   14.15
 37789.628,   14.19
 37789.668,   14.28
 37789.709,   14.27
 37789.751,   14.15
 37789.792,   13.61
 37789.834,   13.22
 37789.877,   13.55
 37789.920,   14.14
 37789.958,   14.62
 37790.003,   14.74
 37790.042,   14.62
 37790.084,   14.89
 37790.126,   15.20
 37790.170,   14.70
 37790.210,   13.89
 37790.253,   13.58
 37790.293,   13.66
 37790.335,   13.80
 37790.376,   13.90
 37790.419,   13.92
 37790.459,   13.87
 37790.503,   13.86
 37790.543,   14.04
 37790.585,   14.24
 37790.627,   14.46
 37790.667,   14.51
 37790.710,   14.53
 37790.751,   14.56
 37790.794,   14.38
 37790.834,   14.29
 37790.876,   14.20
 37790.919,   14.15
 37790.962,   14.16
 37791.004,   14.19
 37791.043,   14.21
 37791.086,   14.41
 37791.127,   14.46
 37791.167,   14.46
 37791.210,   14.44
 37791.253,   14.45
 37791.293,   14.40
 37791.337,   14.32
 37791.377,   14.33
 37791.418,   14.32
 37791.460,   14.37
 37791.502,   14.45
 37791.543,   14.44
 37791.586,   14.41
 37791.626,   14.41
 37791.667,   14.22
 37791.709,   14.15
 37791.752,   14.13
 37791.793,   14.13
 37791.834,   14.14
 37791.878,   14.16
 37791.917,   14.15
 37791.959,   14.16
 37792.003,   14.20
 37792.042,   14.26
 37792.086,   14.30
 37792.126,   14.32
 37792.169,   14.32
 37792.209,   14.29
 37792.253,   14.26
 37792.292,   14.24
 37792.334,   14.27
 37792.377,   14.30
 37792.418,   14.33
 37792.459,   14.37
 37792.503,   14.41
 37792.542,   14.45
 37792.586,   14.49
 37792.625,   14.51
 37792.669,   14.52
 37792.710,   14.52
 37792.752,   14.45
 37792.793,   14.55
 37792.836,   14.52
 37792.876,   14.52
 37792.919,   14.66
 37792.959,   14.67
 37793.003,   14.67
 37793.043,   14.72
 37793.085,   14.55
 37793.126,   14.43
 37793.167,   14.39
 37793.209,   14.43
 37793.253,   14.43
 37793.293,   14.41
 37793.334,   14.37
 37793.376,   14.14
 37793.418,   14.06
 37793.460,   14.12
 37793.502,   14.14
 37793.542,   14.19
 37793.584,   14.34
 37793.627,   14.42
 37793.668,   14.44
 37793.708,   14.46
 37793.750,   14.49
 37793.793,   14.43
 37793.835,   14.41
 37793.877,   14.52
 37793.917,   14.56
 37793.959,   14.56
 37794.002,   14.57
 37794.042,   14.44
 37794.085,   14.45
 37794.125,   14.43
 37794.167,   14.42
 37794.210,   14.58
 37794.252,   14.58
 37794.292,   14.57
 37794.334,   14.69
 37794.375,   14.67
 37794.417,   14.57
 37794.460,   14.55
 37794.502,   14.54
 37794.544,   14.57
 37794.585,   14.66
 37794.627,   14.71
 37794.667,   14.44
 37794.709,   14.23
 37794.751,   14.16
 37794.792,   14.20
 37794.834,   14.30
 37794.876,   14.58
 37794.918,   14.65
 37794.960,   14.69
 37795.002,   14.74
 37795.042,   14.75
 37795.084,   14.72
 37795.126,   14.87
 37795.168,   14.88
 37795.210,   14.92
 37795.252,   14.99
 37795.292,   14.99
 37795.334,   15.02
 37795.377,   15.02
 37795.417,   14.99
 37795.460,   14.84
 37795.502,   14.59
 37795.544,   14.58
 37795.585,   14.81
 37795.627,   14.87
 37795.667,   14.55
 37795.709,   14.47
 37795.751,   14.47
 37795.793,   14.69
 37795.835,   14.76
 37795.877,   14.82
 37795.917,   14.87
 37795.959,   14.92
 37796.002,   14.90
 37796.042,   14.83
 37796.084,   14.82
 37796.125,   14.90
 37796.167,   14.94
 37796.209,   15.00
 37796.252,   15.05
 37796.292,   15.01
 37796.334,   15.03
 37796.375,   15.13
 37796.418,   15.24
 37796.460,   15.47
 37796.502,   15.49
 37796.542,   15.50
 37796.584,   15.42
 37796.626,   15.43
 37796.668,   15.53
 37796.710,   15.30
 37796.751,   15.29
 37796.792,   15.29
 37796.834,   15.13
 37796.876,   15.05
 37796.917,   15.10
 37796.959,   15.14
 37797.002,   15.06
 37797.042,   15.00
 37797.084,   15.00
 37797.126,   15.01
 37797.167,   15.07
 37797.210,   15.11
 37797.252,   15.10
 37797.292,   15.13
 37797.335,   15.15
 37797.376,   15.12
 37797.418,   15.15
 37797.460,   15.20
 37797.502,   15.18
 37797.544,   15.17
 37797.585,   15.15
 37797.627,   15.18
 37797.667,   15.16
 37797.709,   15.23
