$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:137.     

JDAY,QWD(m3s-1)
 37814.917,   23.1881
 37814.960,   23.1193
 37815.003,   23.0500
 37815.043,   23.0296
 37815.086,   23.0075
 37815.127,   22.9870
 37815.169,   22.9654
 37815.209,   22.9450
 37815.251,   22.9225
 37815.293,   22.9021
 37815.335,   22.8807
 37815.375,   22.8603
 37815.419,   22.8381
 37815.459,   22.8176
 37815.504,   22.7950
 37815.544,   22.7744
 37815.584,   22.7531
 37815.627,   22.7318
 37815.668,   22.7109
 37815.710,   22.6889
 37815.752,   22.6681
 37815.792,   22.6477
 37815.836,   22.6260
 37815.876,   22.6049
 37815.920,   22.5828
 37815.960,   22.5625
 37816.004,   22.5400
 37816.044,   22.5492
 37816.083,   22.5584
 37816.129,   22.5685
 37816.167,   22.5774
 37816.208,   22.5869
 37816.253,   22.5975
 37816.292,   22.6070
 37816.334,   22.6165
 37816.376,   22.6261
 37816.419,   22.6357
 37816.458,   22.6447
 37816.504,   22.6550
 37816.542,   22.6641
 37816.585,   22.6735
 37816.625,   22.6830
 37816.667,   22.6924
 37816.710,   22.7025
