,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO
1/9/2023 19:00,37264.8,15,11.74,5.36,29.08,9.98,0
1/9/2023 20:00,37264.84,14.44,10.62,7.15,29.06,9.97,0
1/9/2023 21:00,37264.88,14.44,10.82,12.52,29.05,9.97,0
1/9/2023 22:00,37264.92,13.89,11.02,7.15,29.11,9.96,0
1/9/2023 23:00,37264.97,13.89,11.02,4.92,29.13,9.96,0
1/10/2023 0:00,37265,15,10.77,8.49,29.12,9.95,0
1/10/2023 1:00,37265.04,15.56,10.9,8.49,29.09,9.95,0
1/10/2023 2:00,37265.08,16.11,10.81,6.71,29.11,9.94,0
1/10/2023 3:00,37265.13,15.56,10.49,5.36,29.1,9.94,0
1/10/2023 4:00,37265.17,16.11,10.16,8.49,29.03,9.93,0
1/10/2023 5:00,37265.21,15.56,9.18,5.36,29.03,9.93,0
1/10/2023 6:00,37265.25,13.33,9.15,8.49,29.03,9.92,0
1/10/2023 7:00,37265.29,11.11,7.38,3.58,29.09,9.92,7
1/10/2023 8:00,37265.34,10.56,7.58,1.79,29.14,9.91,62
1/10/2023 9:00,37265.38,10.56,7.21,5.81,29.16,9.91,132
1/10/2023 10:00,37265.42,11.11,7.57,8.49,29.18,9.9,296
1/10/2023 11:00,37265.46,11.67,6.74,5.36,29.19,9.9,313
1/10/2023 12:00,37265.5,12.22,7.07,3.58,29.18,9.89,194
1/10/2023 13:00,37265.55,11.67,7.54,2.24,29.19,9.89,254
1/10/2023 14:00,37265.59,12.22,6.86,2.68,29.19,8.52,217
1/10/2023 15:00,37265.63,11.67,6.94,1.79,29.23,8.14,199
1/10/2023 16:00,37265.67,11.67,6.11,0.45,29.24,8.2,72
1/10/2023 17:00,37265.71,11.67,5.47,1.79,29.27,8.26,0
1/10/2023 18:00,37265.76,10.56,4.62,2.68,29.29,8.32,0
1/10/2023 19:00,37265.8,10.56,4.84,4.02,29.3,8.37,0
1/10/2023 20:00,37265.84,11.11,5.37,2.68,29.33,8.43,0
1/10/2023 21:00,37265.88,10.56,5.46,4.47,29.35,8.49,0
1/10/2023 22:00,37265.92,10,5.53,3.58,29.38,8.55,0
1/10/2023 23:00,37265.97,10,4.72,3.58,29.41,8.61,0
1/11/2023 0:00,37266,9.44,3.35,3.13,29.42,8.67,0
