$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:117.     

JDAY,T(C)
 37790.583,    9.10
 37790.626,    9.10
 37790.667,    9.09
 37790.709,    9.09
 37790.752,    9.09
 37790.793,    9.08
 37790.835,    9.07
 37790.875,    9.07
 37790.918,    9.07
 37790.960,    9.07
 37791.003,    9.07
 37791.043,    9.07
 37791.083,    9.08
 37791.126,    9.08
 37791.168,    9.09
 37791.210,    9.09
 37791.253,    9.09
 37791.293,    9.10
 37791.337,    9.10
 37791.377,    9.10
 37791.419,    9.11
 37791.459,    9.11
 37791.503,    9.10
 37791.545,    9.10
 37791.586,    9.10
 37791.626,    9.10
 37791.668,    9.10
 37791.710,    9.10
 37791.752,    9.10
 37791.793,    9.10
 37791.835,    9.10
 37791.877,    9.10
 37791.918,    9.10
 37791.961,    9.10
 37792.003,    9.10
 37792.043,    9.10
 37792.086,    9.10
 37792.128,    9.10
 37792.169,    9.10
 37792.210,    9.11
 37792.251,    9.11
 37792.293,    9.11
 37792.335,    9.11
 37792.377,    9.12
 37792.418,    9.12
 37792.459,    9.13
 37792.502,    9.13
 37792.543,    9.13
 37792.585,    9.13
 37792.625,    9.13
 37792.668,    9.12
 37792.710,    9.12
 37792.751,    9.12
 37792.793,    9.11
 37792.836,    9.11
 37792.877,    9.11
 37792.917,    9.11
 37792.961,    9.10
 37793.003,    9.10
 37793.043,    9.10
 37793.086,    9.11
 37793.126,    9.10
 37793.168,    9.10
 37793.210,    9.09
 37793.253,    9.09
 37793.293,    9.08
 37793.334,    9.09
 37793.376,    9.09
 37793.419,    9.09
 37793.460,    9.09
 37793.503,    9.08
 37793.543,    9.08
 37793.585,    9.09
 37793.627,    9.10
 37793.669,    9.11
 37793.709,    9.11
 37793.751,    9.12
 37793.794,    9.13
 37793.836,    9.13
 37793.875,    9.14
 37793.917,    9.14
 37793.959,    9.13
 37794.001,    9.13
 37794.042,    9.13
 37794.084,    9.12
 37794.126,    9.12
 37794.169,    9.12
 37794.208,    9.11
 37794.252,    9.11
 37794.292,    9.11
 37794.335,    9.11
 37794.376,    9.11
 37794.418,    9.12
 37794.460,    9.13
 37794.502,    9.13
 37794.542,    9.13
 37794.585,    9.12
 37794.627,    9.11
 37794.667,    9.11
 37794.709,    9.11
 37794.751,    9.12
 37794.793,    9.12
 37794.835,    9.12
 37794.877,    9.12
 37794.919,    9.11
 37794.959,    9.10
 37795.002,    9.10
 37795.042,    9.10
 37795.084,    9.10
 37795.127,    9.10
