$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:117.     

JDAY,T(C)
 37797.919,    9.16
 37797.959,    9.17
 37798.002,    9.18
 37798.042,    9.19
 37798.084,    9.20
 37798.125,    9.21
 37798.167,    9.21
 37798.209,    9.22
 37798.252,    9.24
 37798.292,    9.25
 37798.334,    9.26
 37798.375,    9.26
 37798.418,    9.26
 37798.460,    9.26
 37798.502,    9.26
 37798.542,    9.26
 37798.584,    9.26
 37798.626,    9.25
 37798.668,    9.25
 37798.709,    9.25
 37798.751,    9.26
 37798.792,    9.26
 37798.835,    9.26
 37798.877,    9.25
 37798.917,    9.23
 37798.960,    9.23
 37799.002,    9.23
 37799.042,    9.24
 37799.085,    9.25
 37799.125,    9.25
 37799.168,    9.25
 37799.209,    9.26
 37799.252,    9.27
 37799.292,    9.29
 37799.335,    9.31
 37799.376,    9.32
 37799.419,    9.32
 37799.458,    9.31
 37799.503,    9.31
 37799.542,    9.30
 37799.584,    9.29
 37799.626,    9.28
 37799.669,    9.26
 37799.709,    9.24
 37799.751,    9.22
 37799.792,    9.20
 37799.833,    9.18
 37799.875,    9.18
 37799.918,    9.17
 37799.959,    9.17
 37800.002,    9.17
 37800.042,    9.17
 37800.084,    9.18
 37800.127,    9.19
 37800.167,    9.21
 37800.210,    9.23
 37800.252,    9.26
 37800.292,    9.28
 37800.333,    9.30
 37800.380,    9.32
 37800.418,    9.32
 37800.460,    9.31
 37800.507,    9.30
 37800.545,    9.30
 37800.587,    9.28
 37800.627,    9.27
 37800.669,    9.27
 37800.710,    9.26
 37800.752,    9.26
 37800.795,    9.25
 37800.835,    9.25
 37800.878,    9.25
 37800.918,    9.25
 37800.961,    9.25
 37801.006,    9.25
 37801.045,    9.24
 37801.086,    9.23
 37801.126,    9.24
 37801.168,    9.25
 37801.209,    9.27
 37801.255,    9.28
 37801.295,    9.30
 37801.337,    9.31
 37801.377,    9.33
 37801.419,    9.35
 37801.460,    9.36
 37801.505,    9.36
 37801.543,    9.36
 37801.585,    9.35
 37801.629,    9.34
 37801.670,    9.32
 37801.710,    9.30
 37801.754,    9.28
 37801.795,    9.26
 37801.834,    9.24
 37801.876,    9.23
 37801.917,    9.21
 37801.962,    9.21
 37802.003,    9.20
 37802.045,    9.20
 37802.086,    9.21
 37802.128,    9.22
