 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
 37883.046,   1,  0.76905235E+09,   0.00000000E+00,  -0.10632198E+10,   0.00000000E+00,   0.00000000E+00,  -0.15821324E+08,   0.00000000E+00,   0.00000000E+00,   0.64221217E-11,
 37884.047,   1,  0.77245041E+09,   0.00000000E+00,  -0.10684508E+10,   0.00000000E+00,   0.00000000E+00,  -0.15895940E+08,   0.00000000E+00,   0.00000000E+00,   0.67459673E-11,
 37885.046,   1,  0.77610140E+09,   0.00000000E+00,  -0.10720962E+10,   0.00000000E+00,   0.00000000E+00,  -0.15973331E+08,   0.00000000E+00,   0.00000000E+00,   0.62858785E-11,
 37886.046,   1,  0.77991941E+09,   0.00000000E+00,  -0.10753714E+10,   0.00000000E+00,   0.00000000E+00,  -0.16061402E+08,   0.00000000E+00,   0.00000000E+00,   0.42285933E-11,
 37887.046,   1,  0.78366571E+09,   0.00000000E+00,  -0.10789638E+10,   0.00000000E+00,   0.00000000E+00,  -0.16177922E+08,   0.00000000E+00,   0.00000000E+00,   0.22963416E-11,
 37888.046,   1,  0.78727701E+09,   0.00000000E+00,  -0.10831795E+10,   0.00000000E+00,   0.00000000E+00,  -0.16273121E+08,   0.00000000E+00,   0.00000000E+00,   0.23866603E-11,
 37889.045,   1,  0.79128438E+09,   0.00000000E+00,  -0.10876998E+10,   0.00000000E+00,   0.00000000E+00,  -0.16354448E+08,   0.00000000E+00,   0.00000000E+00,   0.12387065E-11,
 37890.047,   1,  0.79517201E+09,   0.00000000E+00,  -0.10924225E+10,   0.00000000E+00,   0.00000000E+00,  -0.16440906E+08,   0.00000000E+00,   0.00000000E+00,   0.10070538E-11,
 37891.047,   1,  0.79819144E+09,   0.00000000E+00,  -0.10969217E+10,   0.00000000E+00,   0.00000000E+00,  -0.16521733E+08,   0.00000000E+00,   0.00000000E+00,  -0.37813893E-13,
 37892.045,   1,  0.80105685E+09,   0.00000000E+00,  -0.11006492E+10,   0.00000000E+00,   0.00000000E+00,  -0.16597224E+08,   0.00000000E+00,   0.00000000E+00,   0.56552728E-13,
 37893.047,   1,  0.80396784E+09,   0.00000000E+00,  -0.11039265E+10,   0.00000000E+00,   0.00000000E+00,  -0.16677190E+08,   0.00000000E+00,   0.00000000E+00,  -0.58355443E-12,
 37894.046,   1,  0.80652545E+09,   0.00000000E+00,  -0.11076780E+10,   0.00000000E+00,   0.00000000E+00,  -0.16768234E+08,   0.00000000E+00,   0.00000000E+00,  -0.18373257E-11,
 37895.045,   1,  0.80947314E+09,   0.00000000E+00,  -0.11121738E+10,   0.00000000E+00,   0.00000000E+00,  -0.16863437E+08,   0.00000000E+00,   0.00000000E+00,  -0.26858644E-11,
 37896.045,   1,  0.81279064E+09,   0.00000000E+00,  -0.11170741E+10,   0.00000000E+00,   0.00000000E+00,  -0.16966853E+08,   0.00000000E+00,   0.00000000E+00,   0.92769630E-13,
 37897.044,   1,  0.81572189E+09,   0.00000000E+00,  -0.11220924E+10,   0.00000000E+00,   0.00000000E+00,  -0.17063816E+08,   0.00000000E+00,   0.00000000E+00,  -0.70028786E-12,
 37898.045,   1,  0.81838632E+09,   0.00000000E+00,  -0.11269707E+10,   0.00000000E+00,   0.00000000E+00,  -0.17141374E+08,   0.00000000E+00,   0.00000000E+00,  -0.29095396E-11,
 37899.045,   1,  0.82097545E+09,   0.00000000E+00,  -0.11312328E+10,   0.00000000E+00,   0.00000000E+00,  -0.17216023E+08,   0.00000000E+00,   0.00000000E+00,  -0.37494773E-11,
 37900.045,   1,  0.82354764E+09,   0.00000000E+00,  -0.11350174E+10,   0.00000000E+00,   0.00000000E+00,  -0.17293652E+08,   0.00000000E+00,   0.00000000E+00,  -0.53483301E-11,
 37901.044,   1,  0.82689537E+09,   0.00000000E+00,  -0.11390885E+10,   0.00000000E+00,   0.00000000E+00,  -0.17374139E+08,   0.00000000E+00,   0.00000000E+00,  -0.27309440E-11,
 37902.044,   1,  0.83072617E+09,   0.00000000E+00,  -0.11436856E+10,   0.00000000E+00,   0.00000000E+00,  -0.17442891E+08,   0.00000000E+00,   0.00000000E+00,  -0.60434019E-11,
