$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:117.     

JDAY,T(C)
 37435.170,   12.05
 37435.213,   12.06
 37435.256,   12.06
 37435.299,   12.07
 37435.342,   12.07
 37435.385,   12.08
 37435.429,   12.08
 37435.472,   12.09
 37435.514,   12.09
 37435.557,   12.09
 37435.600,   12.09
 37435.644,   12.09
 37435.687,   12.09
 37435.729,   12.09
 37435.772,   12.09
 37435.815,   12.09
 37435.858,   12.09
 37435.902,   12.09
 37435.944,   12.09
 37435.988,   12.09
 37436.031,   12.09
 37436.073,   12.10
 37436.117,   12.10
 37436.159,   12.10
 37436.203,   12.11
 37436.245,   12.11
 37436.288,   12.11
 37436.331,   12.11
 37436.374,   12.11
 37436.418,   12.11
 37436.460,   12.11
 37436.503,   12.11
 37436.546,   12.11
 37436.589,   12.11
 37436.633,   12.11
 37436.675,   12.10
 37436.718,   12.10
 37436.762,   12.10
 37436.804,   12.10
 37436.848,   12.10
 37436.890,   12.11
 37436.933,   12.11
 37436.976,   12.11
 37437.019,   12.12
 37437.062,   12.12
 37437.106,   12.12
 37437.149,   12.13
 37437.192,   12.13
 37437.235,   12.13
 37437.278,   12.13
 37437.321,   12.13
 37437.364,   12.14
 37437.407,   12.14
 37437.449,   12.14
 37437.492,   12.14
 37437.536,   12.14
 37437.578,   12.14
 37437.622,   12.14
 37437.665,   12.13
 37437.707,   12.13
 37437.751,   12.13
 37437.794,   12.13
 37437.837,   12.13
 37437.880,   12.13
 37437.922,   12.13
 37437.965,   12.13
 37438.008,   12.14
 37438.051,   12.14
 37438.094,   12.14
 37438.138,   12.15
 37438.181,   12.15
 37438.223,   12.15
 37438.266,   12.15
 37438.309,   12.15
 37438.352,   12.16
 37438.396,   12.16
 37438.439,   12.17
 37438.482,   12.17
 37438.525,   12.17
 37438.567,   12.18
 37438.610,   12.18
 37438.654,   12.18
 37438.696,   12.18
 37438.739,   12.19
 37438.783,   12.19
 37438.825,   12.19
 37438.868,   12.19
 37438.911,   12.20
 37438.954,   12.20
 37438.998,   12.21
 37439.040,   12.21
 37439.084,   12.21
 37439.126,   12.21
 37439.170,   12.21
 37439.212,   12.21
 37439.255,   12.21
 37439.298,   12.20
 37439.342,   12.20
 37439.385,   12.20
 37439.428,   12.21
 37439.471,   12.20
