,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO
1/9/2020 7:00,36168.29,6.11,0.16,2.24,1.26,3.86,34
1/9/2020 8:00,36168.34,7.78,1.1,1.79,0.94,3.84,183
1/9/2020 9:00,36168.38,13.89,5.18,0.89,0.24,3.82,332
1/9/2020 10:00,36168.42,16.67,6.13,0.89,0.89,3.8,441
1/9/2020 11:00,36168.46,18.89,5.97,0.45,4.71,3.78,503
1/9/2020 12:00,36168.5,22.78,6.89,0.89,4.97,3.76,482
1/9/2020 13:00,36168.55,20.56,4.09,0.45,1.31,2.68,457
1/9/2020 14:00,36168.59,19.44,2.25,0.89,0.86,3.46,350
1/9/2020 15:00,36168.63,20,1.36,0.89,4.05,3.5,207
1/9/2020 16:00,36168.67,16.11,0.15,0.45,4.19,3.53,55
1/9/2020 17:00,36168.71,13.33,0.26,0.45,0.24,3.57,4
1/9/2020 18:00,36168.76,13.33,0.92,1.34,0.61,3.6,4
1/9/2020 19:00,36168.8,11.67,-0.28,2.24,1.08,3.64,4
1/9/2020 20:00,36168.84,10.56,0.47,3.13,1.52,3.67,4
1/9/2020 21:00,36168.88,9.44,-0.84,2.68,1.13,3.7,4
1/9/2020 22:00,36168.92,9.44,-0.84,2.68,1.06,3.74,4
1/9/2020 23:00,36168.97,7.22,1.01,3.58,1.36,4.04,4
1/10/2020 0:00,36169,8.89,-1.63,3.13,1.34,3.81,4
1/10/2020 1:00,36169.04,7.78,-2.65,4.02,1.1,3.84,4
1/10/2020 2:00,36169.08,7.78,-2.1,4.02,1.45,3.87,4
1/10/2020 3:00,36169.13,6.67,-2.6,3.58,1.26,3.91,4
1/10/2020 4:00,36169.17,7.22,-2.89,3.58,1.24,3.94,4
1/10/2020 5:00,36169.21,8.33,-3.02,1.79,1.17,3.98,4
1/10/2020 6:00,36169.25,7.22,-1.82,2.68,1.12,4.01,4
1/10/2020 7:00,36169.29,6.67,-2.86,1.79,1.38,4.04,38
1/10/2020 8:00,36169.34,8.89,-1.07,1.79,0.63,4.08,186
1/10/2020 9:00,36169.38,17.22,4.12,0.89,4.08,4.11,337
1/10/2020 10:00,36169.42,18.89,4.93,1.34,3.35,4.15,407
1/10/2020 11:00,36169.46,20,3.6,0.45,5.52,4.18,493
1/10/2020 12:00,36169.5,22.22,3.78,0.89,1.61,4.21,471
1/10/2020 13:00,36169.55,21.11,1.84,0.45,2.76,4.53,417
1/10/2020 14:00,36169.59,21.11,0.27,0.89,3.96,5.25,313
1/10/2020 15:00,36169.63,19.44,-1.16,0.45,2.65,5.24,204
1/10/2020 16:00,36169.67,16.11,-2.02,0.45,3.94,5.23,62
1/10/2020 17:00,36169.71,13.89,-1.42,0.45,5.34,5.21,4
1/10/2020 18:00,36169.76,12.22,-0.75,0.45,4.83,5.2,4
1/10/2020 19:00,36169.8,11.11,0.12,1.34,1.26,5.19,4
1/10/2020 20:00,36169.84,10.56,0.19,2.68,1.33,5.18,4
1/10/2020 21:00,36169.88,8.89,-0.27,3.58,0.84,5.17,4
1/10/2020 22:00,36169.92,9.44,0.51,3.58,1.27,5.15,4
1/10/2020 23:00,36169.97,8.33,-2.14,3.13,1.12,3.77,4
1/11/2020 0:00,36170,8.89,-0.27,3.13,1.38,5.13,4
1/11/2020 1:00,36170.04,8.33,-0.53,2.68,1.2,5.12,4
1/11/2020 2:00,36170.08,7.22,-1.56,2.24,1.48,5.11,4
1/11/2020 3:00,36170.13,7.78,-1.3,1.79,0.96,5.09,4
1/11/2020 4:00,36170.17,6.67,-1.83,2.68,1.19,5.08,4
1/11/2020 5:00,36170.21,7.22,-1.06,2.24,1.26,5.07,4
1/11/2020 6:00,36170.25,6.11,-2.1,3.13,1.47,5.06,4
1/11/2020 7:00,36170.29,6.11,-1.86,2.24,1.33,5.05,32
1/11/2020 8:00,36170.34,8.89,-0.27,1.79,1.17,5.03,175
1/11/2020 9:00,36170.38,15,3.7,0.45,5.57,5.02,319
1/11/2020 10:00,36170.42,15,2.43,0.45,3.84,5.01,393
1/11/2020 11:00,36170.46,18.89,4.56,0.45,4.75,5,511
1/11/2020 12:00,36170.5,18.89,3.42,0.89,4.5,4.99,448
1/11/2020 13:00,36170.55,21.67,5.49,0.89,5.32,4.22,427
1/11/2020 14:00,36170.59,20,2.74,1.34,3.47,4.44,334
1/11/2020 15:00,36170.63,16.67,0.23,0.45,6.21,4.4,167
1/11/2020 16:00,36170.67,15,0.33,0.45,3.8,4.36,43
1/11/2020 17:00,36170.71,13.33,-0.09,1.34,0.98,4.32,4
1/11/2020 18:00,36170.76,12.22,1.44,1.34,0.61,4.27,4
1/11/2020 19:00,36170.8,11.11,1.26,2.68,1.54,4.23,4
1/11/2020 20:00,36170.84,9.44,0.51,2.24,1.61,4.19,4
1/11/2020 21:00,36170.88,8.33,0.47,3.13,1.08,4.15,4
1/11/2020 22:00,36170.92,8.89,1.23,2.68,1.12,4.11,4
1/11/2020 23:00,36170.97,8.89,0.25,2.68,1.43,5.14,4
1/12/2020 0:00,36171,6.67,0.04,4.02,1.47,4.02,4
1/12/2020 1:00,36171.04,6.11,-0.26,3.13,1.17,3.98,4
1/12/2020 2:00,36171.08,6.67,0.48,3.58,1.2,3.94,4
1/12/2020 3:00,36171.13,5.56,-0.58,2.68,1.55,3.9,4
1/12/2020 4:00,36171.17,6.11,-0.26,2.68,1.38,3.86,4
1/12/2020 5:00,36171.21,5,-0.69,2.24,1.26,3.82,4
1/12/2020 6:00,36171.25,6.11,-0.05,1.34,0.44,3.78,4
1/12/2020 7:00,36171.29,6.67,-0.4,0.45,0.59,3.73,38
1/12/2020 8:00,36171.34,8.33,0.47,0.89,3.96,3.69,182
1/12/2020 9:00,36171.38,12.78,3.36,0.89,3.74,3.65,332
1/12/2020 10:00,36171.42,15,4,0.45,3.44,3.61,447
1/12/2020 11:00,36171.46,18.33,4.43,1.34,3.58,3.57,512
1/12/2020 12:00,36171.5,19.44,4.69,0.89,1.9,3.53,493
1/12/2020 13:00,36171.55,20.56,4.09,0.45,2.86,2.51,465
1/12/2020 14:00,36171.59,19.44,1.81,0.89,4.01,3.57,353
1/12/2020 15:00,36171.63,19.44,1.81,0.45,4.75,3.57,209
1/12/2020 16:00,36171.67,15,-0.83,0.45,3.86,3.56,60
1/12/2020 17:00,36171.71,11.67,-0.92,0.89,5.45,3.56,4
1/12/2020 18:00,36171.76,11.67,0.33,1.34,1.15,3.56,4
1/12/2020 19:00,36171.8,11.11,0.99,1.34,0.31,3.55,4
1/12/2020 20:00,36171.84,10,-0.04,1.79,1.33,3.55,4
1/12/2020 21:00,36171.88,9.44,-0.28,1.34,1.15,3.54,4
1/12/2020 22:00,36171.92,8.33,-0.27,2.68,0.8,3.54,4
1/12/2020 23:00,36171.97,7.22,0.35,3.13,1.2,4.07,4
1/13/2020 0:00,36172,7.78,-1.04,3.13,1.24,3.53,4
1/13/2020 1:00,36172.04,7.78,-0.79,3.13,1.19,3.53,4
1/13/2020 2:00,36172.08,7.22,-1.31,3.58,1.27,3.52,4
1/13/2020 3:00,36172.13,7.78,-1.83,3.58,0.89,3.52,4
1/13/2020 4:00,36172.17,7.22,-2.08,0.89,1.85,3.52,4
1/13/2020 5:00,36172.21,6.67,-2.08,2.24,1.12,3.51,4
1/13/2020 6:00,36172.25,5.56,-3.12,3.13,1.34,3.51,4
1/13/2020 7:00,36172.29,7.22,-3.74,0.89,1.47,3.5,39
1/13/2020 8:00,36172.34,8.89,-0.8,1.34,1.48,3.5,188
1/13/2020 9:00,36172.38,14.44,1.93,0.89,3.67,3.49,342
1/13/2020 10:00,36172.42,18.89,5.28,0.89,5.83,3.49,454
1/13/2020 11:00,36172.46,19.44,5.06,0.89,0.02,3.49,515
1/13/2020 12:00,36172.5,18.89,3.81,0.89,5.83,3.48,496
1/13/2020 13:00,36172.55,23.33,3.77,0.89,4.99,2.1,473
1/13/2020 14:00,36172.59,21.11,-1.48,1.79,4.24,3.27,360
1/13/2020 15:00,36172.63,20,-2.42,0.89,4.21,3.28,217
1/13/2020 16:00,36172.67,17.78,-3.14,0.45,4.85,3.3,62
