,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO
1/6/2020 18:00,36165.76,8.33,4.3,2.68,0.98,7.82,3
1/6/2020 19:00,36165.8,8.33,4.11,1.79,1.03,7.6,4
1/6/2020 20:00,36165.84,7.78,3.57,1.34,1.27,7.38,4
1/6/2020 21:00,36165.88,7.78,4.14,1.79,1.22,7.17,3
1/6/2020 22:00,36165.92,7.78,3.95,2.68,0.87,6.95,4
1/6/2020 23:00,36165.97,8.33,7.57,0.89,1.15,9.14,0
1/7/2020 0:00,36166,7.78,4.68,0.89,4.97,6.52,4
1/7/2020 1:00,36166.04,7.78,4.32,0.89,1.2,6.3,5
1/7/2020 2:00,36166.08,6.11,2.7,0.45,5.46,6.08,4
1/7/2020 3:00,36166.13,5,2.15,0.45,4.43,5.86,4
1/7/2020 4:00,36166.17,6.11,4.08,1.34,6.21,5.65,4
1/7/2020 5:00,36166.21,5.56,2.34,1.79,0.16,5.43,4
1/7/2020 6:00,36166.25,3.89,1.73,2.24,1.68,5.21,4
1/7/2020 7:00,36166.29,5.56,1.42,0.89,3.6,4.99,40
1/7/2020 8:00,36166.34,6.11,2.52,0.89,0.86,4.78,194
1/7/2020 9:00,36166.38,9.44,3.56,1.34,4.4,4.56,350
1/7/2020 10:00,36166.42,12.78,5.14,0.45,4.28,4.34,469
1/7/2020 11:00,36166.46,12.78,4.9,1.34,5.22,4.12,535
1/7/2020 12:00,36166.5,13.33,6.37,1.34,4.9,3.91,475
1/7/2020 13:00,36166.55,11.67,4.79,1.79,4.26,5.85,370
1/7/2020 14:00,36166.59,12.78,6.08,2.24,4.56,5.7,297
1/7/2020 15:00,36166.63,11.67,4.56,2.24,4.1,5.89,213
1/7/2020 16:00,36166.67,9.44,5.19,0.89,4.03,6.09,54
1/7/2020 17:00,36166.71,6.67,3.24,0.89,4.68,6.29,4
1/7/2020 18:00,36166.76,6.11,2.88,0.89,4.26,6.48,4
1/7/2020 19:00,36166.8,5.56,1.98,1.34,1.82,6.68,4
1/7/2020 20:00,36166.84,5.56,2.69,0.89,1.66,6.87,4
1/7/2020 21:00,36166.88,5.56,3.7,1.34,1.15,7.07,4
1/7/2020 22:00,36166.92,6.11,4.25,1.79,1.47,7.26,4
1/7/2020 23:00,36166.97,7.78,4.14,1.34,1.12,6.73,4
1/8/2020 0:00,36167,5.56,3.86,2.68,1.29,7.65,4
1/8/2020 1:00,36167.04,5.56,3.54,3.13,1.06,7.85,3
1/8/2020 2:00,36167.08,5,3.48,0.89,4.01,8.05,4
1/8/2020 3:00,36167.13,4.44,2.77,0.89,5.78,8.24,4
1/8/2020 4:00,36167.17,6.67,3.95,2.24,1.52,8.44,3
1/8/2020 5:00,36167.21,6.11,3.75,0.89,2.39,8.63,4
1/8/2020 6:00,36167.25,5.56,3.54,1.79,1.08,8.83,4
1/8/2020 7:00,36167.29,6.67,4.29,0.89,1.99,9.02,17
1/8/2020 8:00,36167.34,7.22,4.84,1.34,0.89,9.22,87
1/8/2020 9:00,36167.38,8.33,5.23,1.79,0.93,9.41,95
1/8/2020 10:00,36167.42,9.44,4.8,0.89,3.33,9.61,137
1/8/2020 11:00,36167.46,10,4.93,0.89,3.49,9.8,147
1/8/2020 12:00,36167.5,9.44,5.19,1.34,1.55,10,89
1/8/2020 13:00,36167.55,10.56,5.87,1.34,2.37,10,94
1/8/2020 14:00,36167.59,10,5.53,2.24,2.08,10,50
1/8/2020 15:00,36167.63,10,3.88,1.34,2.36,9.96,47
1/8/2020 16:00,36167.67,10,3.21,0.89,1.95,9.92,16
1/8/2020 17:00,36167.71,10,2.75,1.34,3.63,9.87,4
1/8/2020 18:00,36167.76,8.89,4.65,0.89,2.76,9.83,3
1/8/2020 19:00,36167.8,7.78,4.68,1.34,2.25,9.79,3
1/8/2020 20:00,36167.84,8.33,3.72,2.24,1.62,9.75,4
1/8/2020 21:00,36167.88,8.33,3.53,0.89,2.39,9.7,4
1/8/2020 22:00,36167.92,8.33,5.76,0.89,2.04,9.66,4
1/8/2020 23:00,36167.97,6.11,4.08,2.24,1.54,7.46,4
1/9/2020 0:00,36168,7.22,5.83,2.24,0.94,9.58,4
1/9/2020 1:00,36168.04,8.33,6.61,1.34,1.24,9.53,4
1/9/2020 2:00,36168.08,7.78,6.22,1.34,1.06,9.49,4
1/9/2020 3:00,36168.13,7.78,6.06,1.34,1.57,9.45,4
1/9/2020 4:00,36168.17,8.33,7.09,0.89,0.91,9.41,4
1/9/2020 5:00,36168.21,8.33,7.09,2.24,1.13,9.36,4
1/9/2020 6:00,36168.25,6.67,5.91,1.79,1.43,9.32,3
1/9/2020 7:00,36168.29,6.11,5.66,2.68,0.96,9.28,27
1/9/2020 8:00,36168.34,8.89,6.82,1.34,1.29,9.24,167
1/9/2020 9:00,36168.38,10,7.04,1.34,4.22,9.2,261
1/9/2020 10:00,36168.42,12.22,8.07,0.45,4.07,9.15,337
1/9/2020 11:00,36168.46,10,7.39,0.89,4.56,9.11,221
1/9/2020 12:00,36168.5,11.11,7.38,0,3.54,9.07,247
1/9/2020 13:00,36168.55,11.67,7.54,0.89,4.49,8.47,256
1/9/2020 14:00,36168.59,11.67,7.34,0.45,5.29,7.6,237
1/9/2020 15:00,36168.63,12.22,7.68,0.89,3.93,7.71,202
1/9/2020 16:00,36168.67,8.89,6.65,0.45,4.57,7.81,49
1/9/2020 17:00,36168.71,7.22,6.15,0.45,5.17,7.92,4
1/9/2020 18:00,36168.76,7.22,5.83,0.89,0.94,8.02,4
1/9/2020 19:00,36168.8,7.22,6.62,0.45,4.89,8.13,4
1/9/2020 20:00,36168.84,6.67,6.37,0.45,4.08,8.23,3
1/9/2020 21:00,36168.88,7.78,7.33,1.34,0.02,8.33,3
1/9/2020 22:00,36168.92,7.22,6.77,2.24,1.34,8.44,3
1/9/2020 23:00,36168.97,7.22,5.99,2.24,0.89,9.62,3
1/10/2020 0:00,36169,7.22,6.62,0.89,1.27,8.65,3
1/10/2020 1:00,36169.04,7.78,6.7,1.79,0.91,8.75,2
1/10/2020 2:00,36169.08,7.22,5.99,2.24,1.33,8.86,3
1/10/2020 3:00,36169.13,7.22,5.99,1.34,1.31,8.96,3
1/10/2020 4:00,36169.17,5.56,5.26,0.89,1.36,9.07,4
1/10/2020 5:00,36169.21,6.11,5.81,0.89,0.38,9.17,3
1/10/2020 6:00,36169.25,6.67,6.22,1.34,4,9.28,3
1/10/2020 7:00,36169.29,6.67,6.22,0.89,3.47,9.38,19
1/10/2020 8:00,36169.34,7.78,7.33,0.45,1.57,9.49,89
1/10/2020 9:00,36169.38,11.11,9.01,0.45,5.34,9.59,275
1/10/2020 10:00,36169.42,8.89,7.48,0.89,2.39,9.69,213
1/10/2020 11:00,36169.46,11.11,8.48,0.45,2.74,9.8,233
1/10/2020 12:00,36169.5,11.11,7.76,0.89,3.61,9.9,193
1/10/2020 13:00,36169.55,11.11,8.3,0.45,4.85,10,159
1/10/2020 14:00,36169.59,11.67,9.03,0,3.98,8.55,200
1/10/2020 15:00,36169.63,11.11,7.76,0.45,3.25,8.62,190
1/10/2020 16:00,36169.67,10.56,7.94,0.45,3.68,8.68,36
1/10/2020 17:00,36169.71,9.44,7.36,0,2.97,8.75,4
1/10/2020 18:00,36169.76,10,7.91,0.45,5.45,8.82,4
1/10/2020 19:00,36169.8,10,8.25,1.79,1.87,8.88,4
1/10/2020 20:00,36169.84,10,8.25,0.89,0.99,8.95,2
1/10/2020 21:00,36169.88,8.89,7.64,1.34,0.77,9.01,0
1/10/2020 22:00,36169.92,9.44,8.2,2.68,1.2,9.08,0
1/10/2020 23:00,36169.97,6.11,5.51,0.89,1.9,8.54,2
1/11/2020 0:00,36170,8.33,7.88,0.89,0.7,9.21,3
1/11/2020 1:00,36170.04,8.33,7.88,2.24,1.01,9.28,0
1/11/2020 2:00,36170.08,7.78,7.02,2.68,1.15,9.34,0
1/11/2020 3:00,36170.13,7.22,6.92,3.13,1.43,9.41,0
1/11/2020 4:00,36170.17,6.67,6.37,2.68,1.1,9.47,1
1/11/2020 5:00,36170.21,5.56,5.41,3.13,1.1,9.54,2
